id,title,outcome,featureArea,wave,targetRelease,dependsOn,acceptance,sourceRefs,decisionRefs,riskEvidenceNeeds,status,evidenceRefs,platformId
RC-W04-T10,Reconcile a challenged campaign end to end,Researchers can reconcile a challenged campaign end to end.,integrity and recovery,4,0.1,"[""RC-W03-T08"", ""RC-W04-T01"", ""RC-W04-T02"", ""RC-W04-T03"", ""RC-W04-T04"", ""RC-W04-T05"", ""RC-W04-T06"", ""RC-W04-T07"", ""RC-W04-T08"", ""RC-W04-T09""]","The integrated fault matrix proves one terminal record per attempt, unchanged accepted evidence and no erased costs, including exhausted retries.","[""RC-005"", ""RC-006"", ""RC-010"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]",Crash windows and false assurance from happy-path tests; use process termination and representative mutations on the actual candidate.,AUTOMATED PASS,"[""tests/test_store.py"", ""tests/test_evidence.py"", ""tests/test_cli.py"", ""evidence/runtime/automated-checks.json""]",tsk_c9b6952bc400249f41171fb9ad422ce4
RC-W05-T01,Expose the complete ledger for inspection,Researchers can expose the complete ledger for inspection.,0.1 release and publication,5,0.1,"[""RC-W04-T10""]","The CLI shows every trial/attempt, phase, cost and invalid reason; totals agree with direct durable-store queries.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json""]",tsk_b1a11fe6fd12c7b66b040764dd9b1750
RC-W05-T02,Derive bounded claims from retained evidence,Researchers can derive bounded claims from retained evidence.,0.1 release and publication,5,0.1,"[""RC-W05-T01""]","Claim support and contradiction IDs resolve to study, raw trials, evaluations and reproductions; null and inconclusive outcomes stay visible.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json""]",tsk_edaebb3080e293011fae1d30572dea71
RC-W05-T03,Render an accessible evidence report,Researchers can render an accessible evidence report.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T02""]","Semantic headings, readable narrow layout and non-color status cues expose all outcomes; missing evidence is labelled and the report regenerates from records.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json"", ""evidence/runtime/browser-verification.json"", ""evidence/runtime/default-study/report.html""]",tsk_aa66eebf609c2d403cd98ec822c941f7
RC-W05-T04,Export a versioned portable evidence bundle,Researchers can export a versioned portable evidence bundle.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T02"", ""RC-W05-T03""]","Manifest, immutable protocol, raw complete outcomes, evaluator identity and limitations are included; corrupt or missing artifacts prevent completed export.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json""]",tsk_3b0b51e3087fbc6feeda372480f4e32f
RC-W05-T05,Build an executable source release package,Researchers can build an executable source release package.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T04""]","A fresh project-scoped extraction runs the real documented CLI using standard-library Python; distribution includes license, original fixture and runtime identity.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json"", ""tools/build_release.py"", ""LICENSE""]",tsk_4bc925b889c0cc572809c324fd4080c0
RC-W05-T06,Verify the packaged user workflow,Researchers can verify the packaged user workflow.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T05""]","From the package, freeze a new bounded study, run, interrupt/resume, inspect, export and freshly reproduce without the development checkout.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/runtime/default-study/records.json"", ""evidence/runtime/default-study/summary.json"", ""evidence/runtime/packaged-summary.json""]",tsk_360fb0f0330660b2888f90f34bee4ef1
RC-W05-T07,Obtain independent human or qualified review,Researchers can obtain independent human or qualified review.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T06""]","A real participant or qualified reviewer records scope, build, observations and unresolved concerns; agent walkthroughs remain a separate evidence level.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",NOT TESTED,"[""docs/publication.md""]",tsk_7095cb902d325f7cfac9f8f9ea6648ba
RC-W05-T08,Prepare the concrete public release decision,Researchers can prepare the concrete public release decision.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T06"", ""RC-W05-T07""]","Owner reviews exact destination, tag, artifact/diff, account, exposure, costs and remaining limitations; approval is recorded before external publication.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",USER VALIDATED,"[""evidence/publication-approval.json"", ""evidence/public-release.json""]",tsk_fc0c2438daa2db13a91574df63ad9722
RC-W05-T09,Publish and read back the authorized 0.1,Researchers can publish and read back the authorized 0.1.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T08""]",The approved executable assets and evidence are publicly downloadable at the recorded version; read-back hashes and access checks match the reviewed artifacts.,"[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RELEASE VERIFIED,"[""evidence/publication-approval.json"", ""evidence/public-release.json""]",tsk_e56be9907616b2708eb5423dde404d5c
RC-W05-T10,Verify external use of the public artifact,Researchers can verify external use of the public artifact.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T09""]",A fresh external environment obtains the public download and completes the primary and recovery paths; source of observation and environment limits are recorded.,"[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",RUNTIME VERIFIED,"[""evidence/external-mac-arm64/verification.json"", ""evidence/external-mac-arm64/default-bundle/summary.json"", ""evidence/external-mac-arm64/reproduction.json""]",tsk_9334484d0e39ddbda2f0303e48b11e56
RC-W05-T11,Publish the native Tanduna programme,Researchers can publish the native Tanduna programme.,0.1 release and publication,5,0.1,"[""RC-W05-T01"", ""RC-W05-T08"", ""RC-W05-T09""]","Supported draft/review/approval workflow publishes waves, tasks and dependencies with real platform IDs; immutable historical records are preserved.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",BLOCKED,"[""evidence/tanduna-submission.json""]",tsk_38e9b4706dd66eb8c8e019cb7b6ebbc9
RC-W05-T12,Read back public plan and access instructions,Researchers can read back public plan and access instructions.,0.1 release and publication,5,0.1,"[""RC-W04-T10"", ""RC-W05-T01"", ""RC-W05-T02"", ""RC-W05-T03"", ""RC-W05-T04"", ""RC-W05-T05"", ""RC-W05-T06"", ""RC-W05-T07"", ""RC-W05-T08"", ""RC-W05-T09"", ""RC-W05-T10"", ""RC-W05-T11""]","Public wave counts, task order, dependency links, scope/status and actual 0.1 download instructions match the canonical export; partial publication remains incomplete.","[""RC-012"", ""RC-019"", ""RC-021"", ""RC-024""]","[""OWNER-LAUNCH-2026-09-07"", ""NUMERICAL-001""]","Permission, public availability and independent human evidence are distinct gates; local artifacts and unaccepted proposals do not satisfy them.",BLOCKED,"[""evidence/tanduna-submission.json""]",tsk_72e38bd46793b90b545e0341002c9c16
RC-W06-T01,Resolve the upstream comparison revision,Researchers can resolve the upstream comparison revision.,baseline provenance,6,later 0.x,"[""RC-W01-T01""]","Record official branch resolution, immutable commit and drift from 228791fb499afffb54b46200aca536f79142f117 without treating a mutable branch as identity.","[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_a16268a9309ef593f83ef210ce329e10
RC-W06-T02,Resolve exact redistribution evidence,Researchers can resolve exact redistribution evidence.,baseline provenance,6,later 0.x,"[""RC-W06-T01""]",Retain the upstream license artifact or unresolved absence and attribution terms for each proposed reused component; unclear rights block reuse.,"[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_0fd3f398a1e9a7924fbad6b6638c7066
RC-W06-T03,Reconstruct the baseline operational contract,Researchers can reconstruct the baseline operational contract.,baseline provenance,6,later 0.x,"[""RC-W06-T01""]","Identify editable and fixed files, five-minute accounting, val_bpb direction and keep/discard/crash behavior from exact sources.","[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_3bebba90587fcf5173091171a072a268
RC-W06-T04,Review the baseline dependency graph,Researchers can review the baseline dependency graph.,baseline provenance,6,later 0.x,"[""RC-W06-T01""]","Exact direct/transitive versions, indexes, licenses, maintenance and network behavior receive a bounded adoption decision before installation.","[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_82224d3a0489c89862a3f49ea0260eee
RC-W06-T05,Establish lawful training inputs,Researchers can establish lawful training inputs.,baseline provenance,6,later 0.x,"[""RC-W06-T01""]","Corpus and tokenizer origins, transformation and redistribution rights are recorded; missing rights prevent acquisition or redistribution.","[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_22912fdf19f49893d608203d08ad10a0
RC-W06-T06,Bound the hardware-comparable target,Researchers can bound the hardware-comparable target.,baseline provenance,6,later 0.x,"[""RC-W06-T01""]",The proposed reproduction names GPU/software identity and permissible comparisons; different hardware results cannot support a direct five-minute superiority claim.,"[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_50336a6c740241a6e0a039a6f1dc0af6
RC-W06-T07,Accept the narrow upstream reproduction protocol,Researchers can accept the narrow upstream reproduction protocol.,baseline provenance,6,later 0.x,"[""RC-W01-T01"", ""RC-W06-T01"", ""RC-W06-T02"", ""RC-W06-T03"", ""RC-W06-T04"", ""RC-W06-T05"", ""RC-W06-T06""]","Baseline source, rights decisions, total cost, expected observable outputs and proposed extensions form one reviewable protocol without claiming execution.","[""RC-001""]","[""OWNER-LAUNCH-2026-09-07""]","Upstream rights, dependency approval and hardware comparability remain unresolved until fresh exact evidence is reviewed.",PLANNED,[],tsk_c3f38764da61fed750f2fa6cfaaea524
RC-W07-T01,Define the supported hostile-code threat model,Researchers can define the supported hostile-code threat model.,untrusted execution,7,later 0.x,"[""RC-W02-T10"", ""RC-W06-T07""]","Attacker capabilities, trusted operator assumptions, unsupported attacks and platform identity are approved before any containment claim.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_00fc7565c74eeac48ddf14c580da4e1d
RC-W07-T02,Choose an enforceable execution boundary,Researchers can choose an enforceable execution boundary.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]",A reviewed OS/container/VM mechanism denies access across identities; same-user directories and subprocesses alone are explicitly insufficient.,"[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_dae2070bedb4448b8dffb7f46e932022
RC-W07-T03,Deny unrelated filesystem access,Researchers can deny unrelated filesystem access.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","Traversal, symlink and mount probes cannot read or write unrelated files while declared inputs remain usable.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_7bd967ea7bbcef40a5d32090c569d4cd
RC-W07-T04,Deny evaluator and confirmation access,Researchers can deny evaluator and confirmation access.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","A hostile job cannot list, infer accessible paths for, read or mutate protected evaluator source and reserved evidence.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_55bf030ffa86a5f211654742ecd9dd14
RC-W07-T05,Deny inherited credentials and metadata,Researchers can deny inherited credentials and metadata.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","Credential enumeration, SSH-agent access and cloud metadata probes fail against real isolation controls, not only scrubbed environment variables.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_554c127b6b113e637f56e588935df112
RC-W07-T06,Deny unauthorized network egress,Researchers can deny unauthorized network egress.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","Socket and DNS escape probes fail under supported execution, while any approved preparation network path remains separately audited.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_be0e8bd04d3e5e1980226018c7763810
RC-W07-T07,Enforce process and resource ceilings,Researchers can enforce process and resource ceilings.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","Fork storms, memory/disk/output excess and timeout probes terminate within declared limits and preserve measured costs.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_e7b38b217cbe42c26aa084c7879d2f7a
RC-W07-T08,Validate untrusted outputs safely,Researchers can validate untrusted outputs safely.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]","Path traversal, executable serialization and oversized output are rejected before evaluator ingestion without executing payloads.","[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_e5f8458b55ae170087de5bb52e44e123
RC-W07-T09,Verify full process-tree cancellation,Researchers can verify full process-tree cancellation.,untrusted execution,7,later 0.x,"[""RC-W07-T01""]",Cancellation kills descendant work and revokes mounts/leases; no surviving child can keep writing or consuming authority.,"[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_3c62f814ce5e580caa48bc7d6d6e2398
RC-W07-T10,Accept platform containment evidence,Researchers can accept platform containment evidence.,untrusted execution,7,later 0.x,"[""RC-W02-T10"", ""RC-W06-T07"", ""RC-W07-T01"", ""RC-W07-T02"", ""RC-W07-T03"", ""RC-W07-T04"", ""RC-W07-T05"", ""RC-W07-T06"", ""RC-W07-T07"", ""RC-W07-T08"", ""RC-W07-T09""]",Independent adversarial tests reproduce denials on the supported platform; unresolved material escapes keep untrusted execution disabled.,"[""RC-002"", ""RC-004""]","[""OWNER-LAUNCH-2026-09-07""]","Needs exact platform mechanism, scoped resource approval and adversarial denial evidence; this is outside trusted numerical 0.1.",PLANNED,[],tsk_90cbea3f086ac7cc3b3b24b216d0a9aa
RC-W08-T01,Separate evaluator execution identities,Researchers can separate evaluator execution identities.,protected evaluation,8,later 0.x,"[""RC-W07-T10""]",Producer processes cannot access evaluator code or final data in the chosen containment mechanism; positive authorized evaluator access still works.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_1e59a478b46b291ca2bf414df47c07e7
RC-W08-T02,Freeze partition identity before adaptive search,Researchers can freeze partition identity before adaptive search.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]",Development and confirmation partitions have immutable provenance and contamination checks; replacing a partition invalidates its study.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_edaaacf206fc3e0e2e66c02a7ff3458d
RC-W08-T03,Issue scoped confirmation query leases,Researchers can issue scoped confirmation query leases.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]","Leases bind candidate, evaluator, study, output policy and finite count; replay or foreign-candidate requests are rejected.","[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_763d91a91ab51a4722bba156e7bf0c9e
RC-W08-T04,Count failed and lost evaluator requests,Researchers can count failed and lost evaluator requests.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]",Crashes and lost responses remain in the query ledger according to the frozen policy; retries cannot silently replenish capacity.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_64f001b31b4dda2633240e2054641edf
RC-W08-T05,Constrain development feedback fields,Researchers can constrain development feedback fields.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]",Responses expose only protocol-approved metrics; malformed requests and attempts to request raw confirmation records fail.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_0c16b879ea676293241e4899150ffe1c
RC-W08-T06,Quarantine suspected evidence leakage,Researchers can quarantine suspected evidence leakage.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]",A leak marks affected evidence contaminated and stops confirmation until reviewed; neither deletion nor a new label restores validity.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_9c87ed614df2df63f8c6e9f11dc8fcfe
RC-W08-T07,Bind evaluator changes to new study authority,Researchers can bind evaluator changes to new study authority.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]","Altered scoring code, thresholds or data require a new approved revision and cannot modify accepted evaluation records.","[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_a08711e31c28919ef00469c6d2dc6b89
RC-W08-T08,Close exhausted confirmation access,Researchers can close exhausted confirmation access.,protected evaluation,8,later 0.x,"[""RC-W08-T01""]",Exhaustion returns the declared HOLD/new-study outcome without exposing raw holdout material or increasing query limits.,"[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_de6c07be3b2e3d23323037823025e140
RC-W08-T09,Demonstrate protected evaluation under attack,Researchers can demonstrate protected evaluation under attack.,protected evaluation,8,later 0.x,"[""RC-W07-T10"", ""RC-W08-T01"", ""RC-W08-T02"", ""RC-W08-T03"", ""RC-W08-T04"", ""RC-W08-T05"", ""RC-W08-T06"", ""RC-W08-T07"", ""RC-W08-T08""]","Cross-identity probing, request replay and record-tampering tests fail while a legitimate trial completes and is reproducible.","[""RC-005"", ""RC-011""]","[""OWNER-LAUNCH-2026-09-07""]",Logical API separation is insufficient; protected execution and study-specific feedback semantics need independent evidence.,PLANNED,[],tsk_fa470661406bc079292422d037e4195e
RC-W09-T01,Pin the complete training input lineage,Researchers can pin the complete training input lineage.,training adapter,9,later 0.x,"[""RC-W06-T07"", ""RC-W07-T10"", ""RC-W08-T09"", ""RC-W04-T10""]","Lawful corpus, tokenizer, split, preprocessing and deduplication identities resolve from every trial specification.","[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_d30ecc10ddfd55b79d94bcde7f51273a
RC-W09-T02,Define training run and reproduction contracts,Researchers can define training run and reproduction contracts.,training adapter,9,later 0.x,"[""RC-W09-T01""]","The adapter declares hardware, seeds, outputs, nondeterminism, resource meters and safe-loading behavior before executing a model.","[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_c88a4a940ece969c6b8851438b846780
RC-W09-T03,Run the unchanged tiny training baseline,Researchers can run the unchanged tiny training baseline.,training adapter,9,later 0.x,"[""RC-W09-T01""]","A bounded approved run produces genuine training logs, quality metrics and measured resource totals from pinned code and inputs.","[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_5f88baccba9acd335997c65b378540f6
RC-W09-T04,Validate training quality and failure controls,Researchers can validate training quality and failure controls.,training adapter,9,later 0.x,"[""RC-W09-T01""]","Wrong split, missing checkpoint, non-finite loss and deliberately degraded quality cannot be promoted as improvements.","[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_1dc3f8bff95d04dadce6d59640e0899d
RC-W09-T05,Measure setup and execution costs consistently,Researchers can measure setup and execution costs consistently.,training adapter,9,later 0.x,"[""RC-W09-T01""]","Dataset preparation, compile/warmup and failed training costs follow the frozen attribution rule and appear separately in totals.","[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_0c9f711e930795a90a3913a2bb337e1d
RC-W09-T06,Rebuild the training baseline independently,Researchers can rebuild the training baseline independently.,training adapter,9,later 0.x,"[""RC-W09-T01""]",A clean separately prepared worker reproduces declared metrics within justified tolerance and records incompatibilities rather than repairing silently.,"[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_3fb87c8f289c6ab5fcd35d7741d690f2
RC-W09-T07,Package a lawful training reproduction,Researchers can package a lawful training reproduction.,training adapter,9,later 0.x,"[""RC-W09-T01""]",Exported instructions and permitted artifacts reproduce without private credentials; restricted inputs use lawful locators and explicit availability limits.,"[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_14884669ea2e8f9c43244c3f1671e41b
RC-W09-T08,Admit the training adapter through shared contracts,Researchers can admit the training adapter through shared contracts.,training adapter,9,later 0.x,"[""RC-W06-T07"", ""RC-W07-T10"", ""RC-W08-T09"", ""RC-W04-T10"", ""RC-W09-T01"", ""RC-W09-T02"", ""RC-W09-T03"", ""RC-W09-T04"", ""RC-W09-T05"", ""RC-W09-T06"", ""RC-W09-T07""]",Training completes using registry/coordinator/evaluator seams without bypassing isolation or mutating generic scientific records.,"[""RC-007""]","[""OWNER-LAUNCH-2026-09-07""]","Requires reviewed dependencies, lawful inputs and explicitly allocated suitable hardware; numerical fixture evidence cannot discharge these gates.",PLANNED,[],tsk_f1fed39bf34d2bb92b13d3cf62726bb7
RC-W10-T01,Capture evidence-bearing hypothesis proposals,Researchers can capture evidence-bearing hypothesis proposals.,proposal governance,10,later 0.x,"[""RC-W09-T08""]","Each proposed hypothesis records question, sources, predicted direction, control, assumptions and falsifier; absent evidence is explicitly missing.","[""RC-008""]","[""OWNER-LAUNCH-2026-09-07""]","Prompt injection, scope drift and hidden dependency adoption require hostile-input tests and content-bound acceptance.",PLANNED,[],tsk_64ece43d62744fb3df805a7a607adcd2
RC-W10-T02,Parse proposals as bounded data,Researchers can parse proposals as bounded data.,proposal governance,10,later 0.x,"[""RC-W10-T01""]","Natural-language or model output cannot become shell commands; unknown fields, oversized payloads and instruction injection are rejected.","[""RC-008""]","[""OWNER-LAUNCH-2026-09-07""]","Prompt injection, scope drift and hidden dependency adoption require hostile-input tests and content-bound acceptance.",PLANNED,[],tsk_a631db42cc2138db80e3296ef0aab382
RC-W10-T03,Restrict accepted patch ownership,Researchers can restrict accepted patch ownership.,proposal governance,10,later 0.x,"[""RC-W10-T01""]","A patch outside approved candidate paths or touching evaluator, budget or accepted records is rejected before execution.","[""RC-008""]","[""OWNER-LAUNCH-2026-09-07""]","Prompt injection, scope drift and hidden dependency adoption require hostile-input tests and content-bound acceptance.",PLANNED,[],tsk_ee1774e0faabba46d18ddb8b4c951a3c
RC-W10-T04,Review dependencies introduced by patches,Researchers can review dependencies introduced by patches.,proposal governance,10,later 0.x,"[""RC-W10-T01""]",New packages or model/data acquisition trigger exact graph/rights approval; a patch cannot install them implicitly.,"[""RC-008""]","[""OWNER-LAUNCH-2026-09-07""]","Prompt injection, scope drift and hidden dependency adoption require hostile-input tests and content-bound acceptance.",PLANNED,[],tsk_efdff0e7e4c9dfc928d043806095d22f
RC-W10-T05,Bind proposal approval to immutable content,Researchers can bind proposal approval to immutable content.,proposal governance,10,later 0.x,"[""RC-W10-T01""]","The approved diff, source revision and study identity match executed bytes; edited proposals require a new acceptance event.","[""RC-008""]","[""OWNER-LAUNCH-2026-09-07""]","Prompt injection, scope drift and hidden dependency adoption require hostile-input tests and content-bound acceptance.",PLANNED,[],tsk_4029d7dbf09cb8900df7c832712542b7
